"gene_id","symbol","name","cytoband","type","num_cohort_ssm_affected_cases","num_cohort_ssm_cases","cohort_ssm_affected_cases_percentage","num_gdc_ssm_affected_cases","num_gdc_ssm_cases","gdc_ssm_affected_cases_percentage","num_cohort_cnv_cases","num_cohort_cnv_gain_cases","cohort_cnv_gain_cases_percentage","num_cohort_cnv_loss_cases","cohort_cnv_loss_cases_percentage","num_mutations","annotations","SSM_Affected_Cases_in_Cohort","CNV_Gain","CNV_Loss","SSM_Affected_Cases_Across_the_GDC"
"ENSG00000141510","TP53","tumor protein p53","17p13.1","protein_coding",442,1131,39.08,4964,16508,30.07,1342,18,1.34,117,8.72,265,"Cancer Gene Census","442 / 1131 (39.08%)","18 / 1342 (1.34%)","117 / 1342 (8.72%)","4964 / 16508 (30.07%)"
"ENSG00000138413","IDH1","isocitrate dehydrogenase (NADP(+)) 1","2q34","protein_coding",434,1131,38.37,600,16508,3.63,1342,32,2.38,39,2.91,6,"Cancer Gene Census","434 / 1131 (38.37%)","32 / 1342 (2.38%)","39 / 1342 (2.91%)","600 / 16508 (3.63%)"
"ENSG00000085224","ATRX","ATRX chromatin remodeler","Xq21.1","protein_coding",237,1131,20.95,817,16508,4.95,1342,0,0,0,0,239,"Cancer Gene Census","237 / 1131 (20.95%)","0 / 1342 (0%)","0 / 1342 (0%)","817 / 16508 (4.95%)"
"ENSG00000171862","PTEN","phosphatase and tensin homolog","10q23.31","protein_coding",233,1131,20.6,1268,16508,7.68,1342,2,0.15,448,33.38,178,"Cancer Gene Census","233 / 1131 (20.6%)","2 / 1342 (0.15%)","448 / 1342 (33.38%)","1268 / 16508 (7.68%)"
"ENSG00000146648","EGFR","epidermal growth factor receptor","7p11.2","protein_coding",158,1131,13.97,660,16508,4,1342,668,49.78,8,0.6,77,"Cancer Gene Census","158 / 1131 (13.97%)","668 / 1342 (49.78%)","8 / 1342 (0.6%)","660 / 16508 (4%)"
"ENSG00000181143","MUC16","mucin 16, cell surface associated","19p13.2","protein_coding",135,1131,11.94,2903,16508,17.59,1342,304,22.65,24,1.79,214,"Cancer Gene Census","135 / 1131 (11.94%)","304 / 1342 (22.65%)","24 / 1342 (1.79%)","2903 / 16508 (17.59%)"
"ENSG00000079432","CIC","capicua transcriptional repressor","19q13.2","protein_coding",118,1131,10.43,464,16508,2.81,1342,236,17.59,309,23.03,108,"Cancer Gene Census","118 / 1131 (10.43%)","236 / 1342 (17.59%)","309 / 1342 (23.03%)","464 / 16508 (2.81%)"
"ENSG00000196712","NF1","neurofibromin 1","17q11.2","protein_coding",106,1131,9.37,887,16508,5.37,1342,25,1.86,101,7.53,127,"Cancer Gene Census","106 / 1131 (9.37%)","25 / 1342 (1.86%)","101 / 1342 (7.53%)","887 / 16508 (5.37%)"
"ENSG00000121879","PIK3CA","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","3q26.32","protein_coding",103,1131,9.11,1685,16508,10.21,1342,88,6.56,42,3.13,65,"Cancer Gene Census","103 / 1131 (9.11%)","88 / 1342 (6.56%)","42 / 1342 (3.13%)","1685 / 16508 (10.21%)"
"ENSG00000145675","PIK3R1","phosphoinositide-3-kinase regulatory subunit 1","5q13.1","protein_coding",76,1131,6.72,577,16508,3.5,1342,44,3.28,64,4.77,60,"Cancer Gene Census","76 / 1131 (6.72%)","44 / 1342 (3.28%)","64 / 1342 (4.77%)","577 / 16508 (3.5%)"
"ENSG00000139687","RB1","RB transcriptional corepressor 1","13q14.2","protein_coding",68,1131,6.01,573,16508,3.47,1342,11,0.82,389,28.99,61,"Cancer Gene Census","68 / 1131 (6.01%)","11 / 1342 (0.82%)","389 / 1342 (28.99%)","573 / 16508 (3.47%)"
"ENSG00000162613","FUBP1","far upstream element binding protein 1","1p31.1","protein_coding",52,1131,4.6,229,16508,1.39,1342,63,4.69,220,16.39,49,"Cancer Gene Census","52 / 1131 (4.6%)","63 / 1342 (4.69%)","220 / 1342 (16.39%)","229 / 16508 (1.39%)"
"ENSG00000148400","NOTCH1","notch receptor 1","9q34.3","protein_coding",46,1131,4.07,812,16508,4.92,1342,95,7.08,122,9.09,51,"Cancer Gene Census","46 / 1131 (4.07%)","95 / 1342 (7.08%)","122 / 1342 (9.09%)","812 / 16508 (4.92%)"
"ENSG00000164796","CSMD3","CUB and Sushi multiple domains 3","8q23.3","protein_coding",40,1131,3.54,1991,16508,12.06,1342,124,9.24,48,3.58,49,"Cancer Gene Census","40 / 1131 (3.54%)","124 / 1342 (9.24%)","48 / 1342 (3.58%)","1991 / 16508 (12.06%)"
"ENSG00000183337","BCOR","BCL6 corepressor","Xp11.4","protein_coding",38,1131,3.36,492,16508,2.98,1342,0,0,0,0,41,"Cancer Gene Census","38 / 1131 (3.36%)","0 / 1342 (0%)","0 / 1342 (0%)","492 / 16508 (2.98%)"
"ENSG00000174469","CNTNAP2","contactin associated protein 2","7q35, 7q36.1","protein_coding",36,1131,3.18,819,16508,4.96,1342,783,58.35,16,1.19,41,"Cancer Gene Census","36 / 1131 (3.18%)","783 / 1342 (58.35%)","16 / 1342 (1.19%)","819 / 16508 (4.96%)"
"ENSG00000134853","PDGFRA","platelet derived growth factor receptor alpha","4q12","protein_coding",35,1131,3.09,444,16508,2.69,1342,140,10.43,62,4.62,38,"Cancer Gene Census","35 / 1131 (3.09%)","140 / 1342 (10.43%)","62 / 1342 (4.62%)","444 / 16508 (2.69%)"
"ENSG00000196159","FAT4","FAT atypical cadherin 4","4q28.1","protein_coding",34,1131,3.01,1444,16508,8.75,1342,12,0.89,196,14.61,49,"Cancer Gene Census","34 / 1131 (3.01%)","12 / 1342 (0.89%)","196 / 1342 (14.61%)","1444 / 16508 (8.75%)"
"ENSG00000127616","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","19p13.2","protein_coding",33,1131,2.92,583,16508,3.53,1342,319,23.77,29,2.16,39,"Cancer Gene Census","33 / 1131 (2.92%)","319 / 1342 (23.77%)","29 / 1342 (2.16%)","583 / 16508 (3.53%)"
